"area_name","process","trend","spike","linearity","curvature","e_acf1","e_acf10","entropy","x_acf1","x_acf10","diff1_acf1","diff1_acf10","diff2_acf1","diff2_acf10","arch_stat","embed2_incircle_1","embed2_incircle_2","ac_9","firstmin_ac","trev_num","motiftwo_entro3","walker_propcross","nonlinearity","x_pacf5","diff1x_pacf5","diff2x_pacf5","PC1","PC2","PC3","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7","cluster8","cluster9","cluster10","cluster11","cluster12","cluster13","cluster14","cluster15"
"Oregon","VGT",0.144292463926836,1.35363385585387e-05,5.52020978922816,2.30060443590292,0.729541833817156,2.04484951380426,0.579243462754458,0.769517807997545,1.39695693814091,0.293779657775088,0.397940096066792,-0.204403233757576,0.226044987620173,0.496663300098134,0,0,0.0615667754384654,6,-30439292753.6621,1.60144053086481,0.182758620689655,0.0476634577904192,0.890173850587773,0.227670610313375,0.211606428409676,-2.09552337918576,-1.67605919907984,0.394114057927289,1,2,3,2,3,3,6,4,8,8,11,2,9,8,11
"Oregon","VIN",0.516376636858048,6.69877740153203e-06,-10.4255019898187,3.89168852648582,0.65447060128639,1.70171383349228,0.454433923880848,0.83378084258732,2.59165534233443,-0.118300104440928,0.362916079672532,-0.553911651658759,0.667238316797204,0.540022808292785,0,0,0.500874935987611,6,65429339.0586207,1.62881786886686,0.182758620689655,0.332034575945311,0.785800519618324,0.123053860755628,0.390459892830677,0.901253452343206,-1.69812407685752,0.535861402958902,1,1,3,2,3,4,1,5,7,9,5,2,1,1,4
"Oregon","VRS",0.0684555034152565,4.37365856132109e-06,5.2756139830771,-1.30671747305562,0.816560715305663,3.31484627908959,0.529031727590754,0.8293596342985,2.72481469729451,0.558394271062025,1.53387369442053,-0.0971302183562143,0.116661508950663,0.639323291489922,0,0,0.0311301438066255,6,1613221078.67281,1.54748108245761,0.165898617511521,0.0867204559893186,1.33934594131353,0.549574509520762,0.0607209282758968,-3.8248759455468,1.84536113572897,-0.199897652359198,1,2,2,1,1,6,2,7,4,2,4,4,7,2,14
"Pennsylvania","VCS",0.0121623724318343,4.86683187095521e-06,2.13967911072011,0.605081905103332,0.812896748998341,3.25924551835257,0.509165411982112,0.81521015672616,3.15652968151878,0.511660589359696,1.46159819285712,-0.23577907876827,0.181059320781393,0.573266901959697,0,0,-0.0340202370184956,6,13734948396.5622,1.54154130436429,0.165898617511521,0.311395540666461,1.37974521204255,0.486184028313187,0.137232756946638,-3.43923040618743,1.4573254872068,0.0207295599581748,1,2,2,1,1,6,2,7,4,2,4,4,7,2,14
"Pennsylvania","VDV",0.911491661301935,8.08208553367724e-07,11.9476467775185,0.246816535387322,0.615118807760424,0.815128592306417,0.449051740209357,0.954322403035103,6.79517756744772,-0.145651328215766,0.0655120121929003,-0.604068224652501,0.444151340754434,0.753478142884925,0,0,0.738237203034073,99,4979.49450549451,0.750442096511699,0.120879120879121,0.523949175488093,0.943713755269295,0.0488605004926261,0.591644695726313,4.58687054519901,1.54259249453227,0.555247398354975,1,1,1,3,4,5,3,8,3,5,3,8,11,10,8
"Pennsylvania","VEU",0.927598854025975,2.96826193216382e-07,15.8812559228228,2.95773674801811,0.58407429831404,0.813947966533489,0.131030351129326,0.963440336494408,7.65219038026941,0.175184938926553,0.816086681599186,-0.260753082522317,0.370221564512039,0.903946371888825,0,0,0.818007033084099,4,101346473418.059,1.14520678481276,0.3,0.408528399089549,1.15264137801257,0.350154834369817,0.56278479531312,2.68899106116616,2.42045925351435,-2.67411805483464,1,1,1,4,5,1,4,3,1,7,10,11,10,4,10
"Pennsylvania","VGT",0.600447066082792,2.21804649867454e-06,12.9259075512702,2.59310763414486,0.732252089974736,2.01195149736766,0.183864808359492,0.891863989651799,2.83858044589879,0.360150873514638,0.647832778207853,-0.226799932586557,0.30847116024347,0.861949744753169,0,0,0.471992944347794,6,-429892497655.666,1.43058032243335,0.196551724137931,0.13036932958634,1.08539400872101,0.282193930677583,0.265553164735884,-0.033011421845373,1.68448052122555,-1.42723652899408,1,2,2,4,5,1,4,3,6,4,8,1,5,4,6
"Pennsylvania","VIN",0.309838811949735,7.68282445774423e-06,8.93944722017513,2.45476056356093,0.751401542853226,2.15267704176133,0.447116901847065,0.827264339674632,1.5815056706851,0.112346553255475,0.577864586989965,-0.535211067193475,0.671718466192909,0.424213199018826,0,0,0.274212218830206,6,385144883.793103,1.60416223816338,0.172413793103448,0.286354951649781,0.88300778606375,0.168594649709632,0.363183484370064,-0.175698523418406,-1.40750179419834,-0.123220063530005,1,2,3,2,3,4,6,5,6,4,11,2,1,8,11
"Pennsylvania","VRS",0.00525021073371024,4.66650221644304e-06,-1.31845627617131,0.591758252036173,0.819299316605517,3.26648161107911,0.577128224528432,0.819902996384606,3.21146561997203,0.580819548100141,1.61040365045857,-0.089187354762535,0.157656421894084,0.598515717779937,0,0,-0.0412737023018325,6,123364869804.295,1.54466175642912,0.165898617511521,0.305589550871072,1.42022233053608,0.556475609926867,0.090205755833957,-4.03883180111133,1.77546271885334,0.172439225697729,1,2,2,1,1,6,2,7,4,2,4,4,7,2,14
"Rhode Island","VCS",0.0114267990249519,5.84897913115773e-06,1.66401729058306,-1.04895381085772,0.808176297959267,3.11825321626654,0.454273441837713,0.81046291035693,3.01464439853128,0.462036500650103,1.31464621961742,-0.282106825471849,0.162888455149982,0.541788871362514,0,0,-0.0223028219591734,6,8731899.88709677,1.54466175642912,0.161290322580645,0.177520925392256,1.31250580983708,0.433107574584953,0.14425792134839,-3.18621439380657,1.11052731571698,0.132012506241187,1,2,2,1,1,6,2,7,4,2,4,4,7,2,14
